University,Course,Date,Time,Sem,QPCode,SubjectName
Bangalore City University ,Bachelor of Arts (2018 Batch Only),8/3/2021,09:30 am - 12:30 pm,Fifth,10521,History : History of Modren India
Bangalore City University ,Bachelor of Arts (2018 Batch Only),10/3/2021,09:30 am - 12:30 pm,Fifth,10522,History : History of China and Japan : 1900 AD
Bangalore City University ,Bachelor of Arts (2018 Batch Only),10/3/2021,09:30 am - 12:30 pm,Fifth,10560,History: History of Europe 1500 - 1945
Bangalore City University ,Bachelor of Arts (2018 Batch Only),12/3/2021,09:30 am - 12:30 pm,Fifth,10533,English (Optional) : Literatures of India: An Intr
Bangalore City University ,Bachelor of Arts (2018 Batch Only),12/3/2021,09:30 am - 12:30 pm,Fifth,10558,Marketing V
Bangalore City University ,Bachelor of Arts (2018 Batch Only),15/03/2021,09:30 am - 12:30 pm,Fifth,10534,English (Optional): Europeanand Non-European Wri
Bangalore City University ,Bachelor of Arts (2018 Batch Only),15/03/2021,09:30 am - 12:30 pm,Fifth,10559,Marketing VI
Bangalore City University ,Bachelor of Arts (2018 Batch Only),17/03/2021,09:30 am - 12:30 pm,Fifth,10537,Psychology : Counseling Psychology I
Bangalore City University ,Bachelor of Arts (2018 Batch Only),17/03/2021,09:30 am - 12:30 pm,Fifth,10538,Psychology : Health psychology I
Bangalore City University ,Bachelor of Arts (2018 Batch Only),17/03/2021,09:30 am - 12:30 pm,Fifth,10539,Psychology : Social Psychology I
Bangalore City University ,Bachelor of Arts (2018 Batch Only),19/03/2021,09:30 am - 12:30 pm,Fifth,10540,Psychology : Industrial & Organizational psycholog
Bangalore City University ,Bachelor of Arts (2018 Batch Only),19/03/2021,09:30 am - 12:30 pm,Fifth,10542,Psychology : Educationa l Psychology I
Bangalore City University ,Bachelor of Arts (2018 Batch Only),19/03/2021,09:30 am - 12:30 pm,Fifth,10543,Psychology : Abnormal Psychology I
Bangalore City University ,Bachelor of Arts (2018 Batch Only),22/03/2021,09:30 am - 12:30 pm,Fifth,90041,Banking and Finance
Bangalore City University ,Bachelor of Arts (2018 Batch Only),22/03/2021,09:30 am - 12:30 pm,Fifth,90042,Building Mathematical Ability
Bangalore City University ,Bachelor of Arts (2018 Batch Only),24/03/2021,09:30 am - 12:30 pm,Fifth,10527,Political Science : Indian Constitution Institutui
Bangalore City University ,Bachelor of Arts (2018 Batch Only),24/03/2021,09:30 am - 12:30 pm,Fifth,10547,Home Science : Basic Nutrition and Family Meal Man
Bangalore City University ,Bachelor of Arts (2018 Batch Only),24/03/2021,09:30 am - 12:30 pm,Fifth,10553,Music V
Bangalore City University ,Bachelor of Arts (2018 Batch Only),26/03/2021,09:30 am - 12:30 pm,Fifth,10528,Politica l Science : International Politics
Bangalore City University ,Bachelor of Arts (2018 Batch Only),26/03/2021,09:30 am - 12:30 pm,Fifth,10548,Home Science : Fashion Illustration and Clothing C
Bangalore City University ,Bachelor of Arts (2018 Batch Only),26/03/2021,09:30 am - 12:30 pm,Fifth,10561,Music VI
Bangalore City University ,Bachelor of Arts (2018 Batch Only),29/03/2021,09:30 am - 12:30 pm,Fifth,10551,Kannada (Optional) V
Bangalore City University ,Bachelor of Arts (2018 Batch Only),29/03/2021,09:30 am - 12:30 pm,Fifth,10554,Tourism V
Bangalore City University ,Bachelor of Arts (2018 Batch Only),29/03/2021,09:30 am - 12:30 pm,Fifth,10556,Communicative English V
Bangalore City University ,Bachelor of Arts (2018 Batch Only),31/03/2021,09:30 am - 12:30 pm,Fifth,10523,Economics : Corporate Economics
Bangalore City University ,Bachelor of Arts (2018 Batch Only),31/03/2021,09:30 am - 12:30 pm,Fifth,10535,Women Studies : Fundamentals of Fminists Theory
Bangalore City University ,Bachelor of Arts (2018 Batch Only),31/03/2021,09:30 am - 12:30 pm,Fifth,10552,Kannada (Optional) VI
Bangalore City University ,Bachelor of Arts (2018 Batch Only),31/03/2021,09:30 am - 12:30 pm,Fifth,10555,Tourism VI
Bangalore City University ,Bachelor of Arts (2018 Batch Only),31/03/2021,09:30 am - 12:30 pm,Fifth,10557,Communicative English
Bangalore City University ,Bachelor of Arts (2018 Batch Only),3/4/2021,09:30 am - 12:30 pm,Fifth,10524,Economics : Mathematics for Economists
Bangalore City University ,Bachelor of Arts (2018 Batch Only),3/4/2021,09:30 am - 12:30 pm,Fifth,10525,Economics : Rural Development & Cooperation
Bangalore City University ,Bachelor of Arts (2018 Batch Only),3/4/2021,09:30 am - 12:30 pm,Fifth,10526,Economics of Tourism
Bangalore City University ,Bachelor of Arts (2018 Batch Only),3/4/2021,09:30 am - 12:30 pm,Fifth,10536,Women Studies: Gender Issues in India
Bangalore City University ,Bachelor of Arts (2018 Batch Only),5/4/2021,09:30 am - 12:30 pm,Fifth,10531,Journalism : Reporting
Bangalore City University ,Bachelor of Arts (2018 Batch Only),5/4/2021,09:30 am - 12:30 pm,Fifth,10544,Geography : Regional Geography of India
Bangalore City University ,Bachelor of Arts (2018 Batch Only),7/4/2021,09:30 am - 12:30 pm,Fifth,10532,Journalism: Editing
Bangalore City University ,Bachelor of Arts (2018 Batch Only),7/4/2021,09:30 am - 12:30 pm,Fifth,10545,Geography : Environmental Geography
Bangalore City University ,Bachelor of Arts (2018 Batch Only),7/4/2021,09:30 am - 12:30 pm,Fifth,10546,Geography : Settlement Geography
Bangalore City University ,Bachelor of Arts (2018 Batch Only),9/4/2021,09:30 am - 12:30 pm,Fifth,10529,Sociology: Sociology of Women
